Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"X Feng, D Tang, B Qin, T Liu","English-chinese knowledge base translation with neural network",2016,"Proceedings of COLING 2016, the …","aclanthology.org","https://aclanthology.org/C16-1276/","https://scholar.google.com/scholar?cites=14931760562713783649&as_sdt=2005&sciodt=2007&hl=en",1,"2022-07-14 14:32:33","HTML","","","",,,,,10,1.67,3,4,6,"… and to build a robust KB translator. We address these challenges by presenting a neural network approach, which learns continuous triple representation with a gated neural network. …","https://aclanthology.org/C16-1276/","https://scholar.google.com/scholar?q=related:Ye29sx5FOM8J:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
95,"IW Sandberg, JT Lo, CL Fancourt, JC Principe…","Nonlinear dynamical systems: feedforward neural network perspectives",2001,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=XXa1GCM6XmgC&oi=fnd&pg=PR7&dq=%22robust%22+%22neural+network%22+%22knowledge+base%22&ots=mSQi0ukCaM&sig=ZHn28C59arAOq8oEOWFyIxXfEz8","https://scholar.google.com/scholar?cites=3942022284437691510&as_sdt=2005&sciodt=2007&hl=en",2,"2022-07-14 14:32:33","BOOK","","","",,,,,95,4.52,19,5,21,"… Robust controllers and filters are intended to avert disastrous results or mitigate worst-case … used to induce robust performance and are proven to lead to the same robust controllers and …","","https://scholar.google.com/scholar?q=related:dhyVyGHgtDYJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
8,"Z Bi, T Zhang, P Zhou, Y Li","Knowledge transfer for out-of-knowledge-base entities: Improving graph-neural-network-based embedding using convolutional layers",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9178374/","https://scholar.google.com/scholar?cites=10798489889610748971&as_sdt=2005&sciodt=2007&hl=en",3,"2022-07-14 14:32:33","","","","",,,,,8,4.00,2,4,2,"Knowledge base completion (KBC) aims to predict missing information in a knowledge base… time, which is called the out-of-knowledge-base (OOKB) entity problem. In this article, we …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09178374.pdf","https://scholar.google.com/scholar?q=related:K1TlfFfx25UJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
0,"J Moreira, L Barbosa","DeepEx: A Robust Weak Supervision System for Knowledge Base Augmentation",2021,"Journal on Data Semantics","Springer","https://link.springer.com/article/10.1007/s13740-021-00134-x","",4,"2022-07-14 14:32:33","","10.1007/s13740-021-00134-x","","",,,,,0,0.00,0,2,1,"… Concretely, we apply the hybrid deep neural network presented in Fig. 4. Given an input sentence, each of its words is represented by a concatenation of three different representations: …","","https://scholar.google.com/scholar?q=related:I9hz9fZZOlcJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
28,"J Wang, J Liu, W Bi, X Liu, K He, R Xu…","Improving knowledge-aware dialogue generation via knowledge base question answering",2020,"Proceedings of the AAAI …","ojs.aaai.org","https://ojs.aaai.org/index.php/AAAI/article/view/6453","https://scholar.google.com/scholar?cites=8903018356858738973&as_sdt=2005&sciodt=2007&hl=en",5,"2022-07-14 14:32:33","","","","",,,,,28,14.00,4,7,2,"… Neural network models usually suffer from the challenge of … matching abilities from knowledge base question answering (… that our model has robust superiority over compared methods …","https://ojs.aaai.org/index.php/AAAI/article/view/6453/6309","https://scholar.google.com/scholar?q=related:HdlYfQbgjXsJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
1,"JD Kopsick, C Tecuatl, K Moradi, SM Attili…","Robust Resting-State Dynamics in a Large-Scale Spiking Neural Network Model of Area CA3 in the Mouse Hippocampus",2022,"Cognitive …","Springer","https://link.springer.com/article/10.1007/s12559-021-09954-2","https://scholar.google.com/scholar?cites=7378273800039001410&as_sdt=2005&sciodt=2007&hl=en",6,"2022-07-14 14:32:33","","10.1007/s12559-021-09954-2","","",,,,,1,1.00,0,5,1,"… .org knowledge base, we developed a data-driven, large-scale spiking neural network (SNN… grand-average firing frequency, which was robust relative to a wide range of transient …","https://www.researchgate.net/profile/Carolina-Tecuatl-Tolama/publication/358190870_Robust_Resting-State_Dynamics_in_a_Large-Scale_Spiking_Neural_Network_Model_of_Area_CA3_in_the_Mouse_Hippocampus/links/62168ba34ef2165938edb7fe/Robust-Resting-State-Dynamics-in-a-Large-Scale-Spiking-Neural-Network-Model-of-Area-CA3-in-the-Mouse-Hippocampus.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:Qm3l6u3kZGYJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
7,"B Zhou, Z Zhu","A dynamic scheduling mechanism of part feeding for mixed-model assembly lines based on the modified neural network and knowledge base",2021,"Soft Computing","Springer","https://link.springer.com/article/10.1007/s00500-020-05141-x","https://scholar.google.com/scholar?cites=5216499442578854351&as_sdt=2005&sciodt=2007&hl=en",7,"2022-07-14 14:32:33","","10.1007/s00500-020-05141-x","","",,,,,7,7.00,4,2,1,"… on the knowledge base (KB) and fruit fly optimization algorithm (FOA) with variable step sizes and logistic chaos (VSCFOA)-enhanced general regression neural network (VSCFOA-…","","https://scholar.google.com/scholar?q=related:z5Hv1Zq6ZEgJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
1,"D Lisjak, P Ćosić, D Milčić","Two approaches for estimation of production time: robust regression analysis and neural network",2011,"… of the 21st International Conference on …","repozitorij.fsb.hr","http://repozitorij.fsb.hr/id/eprint/5985","https://scholar.google.com/scholar?cites=2491727597873640345&as_sdt=2005&sciodt=2007&hl=en",8,"2022-07-14 14:32:33","","","","",,,,,1,0.09,0,3,11,"… In fact, it means development of a technological knowledge base. As a result of our analysis… use of a neural network for the production time estimation in relation to a robust regression …","","https://scholar.google.com/scholar?q=related:mbNLbAxllCIJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
9,"D Ramalingam, S Lingireddy","Neural network–derived heuristic framework for sizing surge vessels",2014,"Journal of Water Resources …","ascelibrary.org","https://ascelibrary.org/doi/abs/10.1061/(ASCE)WR.1943-5452.0000371","https://scholar.google.com/scholar?cites=10160200317498767901&as_sdt=2005&sciodt=2007&hl=en",9,"2022-07-14 14:32:33","","10.1061/(ASCE)WR.1943-5452.0000371","","",,,,,9,1.13,5,2,8,"… This article proposes a robust framework for developing surge protection design tools and … from this knowledge-base and used as input variables for a neural network model along with …","","https://scholar.google.com/scholar?q=related:HTpTk1tIAI0J:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
0,"S Wang, D Dang","Robust cross-lingual knowledge base question answering via knowledge distillation",2021,"Data Technologies and Applications","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/DTA-12-2020-0312/full/html","",10,"2022-07-14 14:32:33","","10.1108/DTA-12-2020-0312","","",,,,,0,0.00,0,2,1,"… Previous knowledge base question answering (KBQA) models only consider the … , in which the language of questions and that of knowledge base (KB) are different. Although a machine …","","https://scholar.google.com/scholar?q=related:dUlkXydpnwoJ:scholar.google.com/&scioq=%22robust%22+%22neural+network%22+%22knowledge+base%22&hl=en&as_sdt=2007"
