Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
819,"R.R. Selvaraju","Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization",2020,"International Journal of Computer Vision","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074504618&origin=inward",1,"2022-07-12 16:34:43","Article","10.1007/s11263-019-01228-7","0920-5691","https://api.elsevier.com/content/abstract/scopus_id/85074504618",128,2,336,359,819,409.50,819,1,2,"","",""
184,"A.I. Maqueda","Event-Based Vision Meets Deep Learning on Steering Prediction for Self-Driving Cars",2018,"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062830209&origin=inward",2,"2022-07-12 16:34:43","Conference Paper","10.1109/CVPR.2018.00568","1063-6919","https://api.elsevier.com/content/abstract/scopus_id/85062830209",,,5419,5427,184,46.00,184,1,4,"","",""
128,"D. Alvarez-Melis","Towards robust interpretability with self-explaining neural networks",2018,"Advances in Neural Information Processing Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064804060&origin=inward",3,"2022-07-12 16:34:43","Conference Paper","","1049-5258","https://api.elsevier.com/content/abstract/scopus_id/85064804060",2018,,7775,7784,128,32.00,128,1,4,"","",""
103,"A. Fawzi","Analysis of classifiers’ robustness to adversarial perturbations",2018,"Machine Learning","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85028308759&origin=inward",4,"2022-07-12 16:34:43","Article","10.1007/s10994-017-5663-3","0885-6125","https://api.elsevier.com/content/abstract/scopus_id/85028308759",107,3,481,508,103,25.75,103,1,4,"","",""
95,"T. Graepel","Self-organizing maps: Generalizations and new optimization techniques",1998,"Neurocomputing","","https://api.elsevier.com/content/article/eid/1-s2.0-S0925231298000356","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0344972928&origin=inward",5,"2022-07-12 16:34:43","Article","10.1016/S0925-2312(98)00035-6","0925-2312","https://api.elsevier.com/content/abstract/scopus_id/0344972928",21,1,173,190,95,3.96,95,1,24,"","",""
94,"A. Holzinger","Towards multi-modal causability with Graph Neural Networks enabling information fusion for explainable AI",2021,"Information Fusion","","https://api.elsevier.com/content/article/eid/1-s2.0-S1566253521000142","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100313219&origin=inward",6,"2022-07-12 16:34:43","Article","10.1016/j.inffus.2021.01.008","1566-2535","https://api.elsevier.com/content/abstract/scopus_id/85100313219",71,,28,37,94,94.00,94,1,1,"","",""
94,"M. Buehner","A tighter bound for the echo state property",2006,"IEEE Transactions on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33646536035&origin=inward",7,"2022-07-12 16:34:43","Article","10.1109/TNN.2006.872357","1045-9227","https://api.elsevier.com/content/abstract/scopus_id/33646536035",17,3,820,824,94,5.88,94,1,16,"","",""
68,"W. Ma","Jointly learning explainable rules for recommendation with knowledge graph",2019,"The Web Conference 2019 - Proceedings of the World Wide Web Conference, WWW 2019","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066904877&origin=inward",8,"2022-07-12 16:34:43","Conference Paper","10.1145/3308558.3313607","","https://api.elsevier.com/content/abstract/scopus_id/85066904877",,,1210,1221,68,22.67,68,1,3,"","",""
58,"M. Lundqvist","Attractor dynamics in a modular network model of neocortex",2006,"Network: Computation in Neural Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845421947&origin=inward",9,"2022-07-12 16:34:43","Article","10.1080/09548980600774619","0954-898X","https://api.elsevier.com/content/abstract/scopus_id/33845421947",17,3,253,276,58,3.63,58,1,16,"","",""
57,"N. Ay","Robustness and complexity co-constructed in multimodal signalling networks",2007,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34247100299&origin=inward",10,"2022-07-12 16:34:43","Article","10.1098/rstb.2006.1971","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/34247100299",362,1479,441,447,57,3.80,57,1,15,"","",""
