Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Bratislav Misic, Travis Mills, Margot J. Taylor, Anthony R. McIntosh","Brain Noise Is Task Dependent and Region Specific",2010,"Journal Of Neurophysiology","","","",1,"2022-07-15 10:21:05","Article","10.1152/jn.00648.2010","0022-3077","",104,5,2667,2676,0,0.00,0,4,12,"","",""
0,"Ting Xu, Zhi Yang, Lili Jiang, Xiu-Xia Xing, Xi-Nian Zuo","A Connectome Computation System for discovery science of brain",2015,"Science Bulletin","","","",2,"2022-07-15 10:21:05","Article","10.1007/s11434-014-0698-3","2095-9273","",60,1,86,95,0,0.00,0,5,7,"","",""
0,"Manish Sharma, Deepanshu Goyal, P. V. Achuth, U. Rajendra Acharya","An accurate sleep stages classification system using a new class of optimally time-frequency localized three-band wavelet filter bank",2018,"Computers In Biology And Medicine","","","",3,"2022-07-15 10:21:05","Article","10.1016/j.compbiomed.2018.04.025","0010-4825","",98,,58,75,0,0.00,0,4,4,"","",""
0,"Uri Hasson, Samuel A. Nastase, Ariel Goldstein","Direct Fit to Nature: An Evolutionary Perspective on Biological and Artificial Neural Networks",2020,"Neuron","","","",4,"2022-07-15 10:21:05","Review","10.1016/j.neuron.2019.12.002","0896-6273","",105,3,416,434,0,0.00,0,3,2,"","",""
0,"Martin Boerlin, Sophie Deneve","Spike-Based Population Coding and Working Memory",2011,"Plos Computational Biology","","","",5,"2022-07-15 10:21:05","Article","10.1371/journal.pcbi.1001080","1553-734X","",7,2,,,0,0.00,0,2,11,"","",""
0,"Timothy L. Kline, Panagiotis Korfiatis, Marie E. Edwards, Jaime D. Blais, Frank S. Czerwiec, Peter C. Harris, Bernard F. King, Vicente E. Torres, Bradley J. Erickson","Performance of an Artificial Multi-observer Deep Neural Network for Fully Automated Segmentation of Polycystic Kidneys",2017,"Journal Of Digital Imaging","","","",6,"2022-07-15 10:21:05","Article","10.1007/s10278-017-9978-1","0897-1889","",30,4,442,448,0,0.00,0,9,5,"","",""
0,"YS Gao, YT Qi","Robust visual similarity retrieval in single model face databases",2005,"Pattern Recognition","","","",7,"2022-07-15 10:21:05","Article","10.1016/j.patcog.2004.12.006","0031-3203","",38,7,1009,1020,0,0.00,0,2,17,"","",""
0,"Hanlin Tang, Martin Schrimpf, William Lotter, Charlotte Moerman, Ana Paredes, Josue Ortega Caro, Walter Hardesty, David Cox, Gabriel Kreiman","Recurrent computations for visual pattern completion",2018,"Proceedings Of The National Academy Of Sciences Of The United States Of America","","","",8,"2022-07-15 10:21:05","Article","10.1073/pnas.1719397115","0027-8424","",115,35,8835,8840,0,0.00,0,9,4,"","",""
0,"Marc W. Howard, Indre V. Viskontas, Karthik H. Shankar, Itzhak Fried","Ensembles of human MTL neurons ""jump back in time"" in response to a repeated stimulus",2012,"Hippocampus","","","",9,"2022-07-15 10:21:05","Article","10.1002/hipo.22018","1050-9631","",22,9,1833,1847,0,0.00,0,4,10,"","",""
0,"Dapeng Tao, Lianwen Jin, Yongfei Wang, Xuelong Li","Rank Preserving Discriminant Analysis for Human Behavior Recognition on Wireless Sensor Networks",2014,"Ieee Transactions On Industrial Informatics","","","",10,"2022-07-15 10:21:05","Article","10.1109/TII.2013.2255061","1551-3203","",10,1,813,823,0,0.00,0,4,8,"","",""
